Name: Precious Achiuwa, Age: 24
Name: Bam Adebayo, Age: 26
Name: Ochai Agbaji, Age: 23
Name: Santi Aldama, Age: 23
Name: Nickeil Alexander-Walker, Age: 25
Name: Grayson Allen, Age: 28
Name: Jarrett Allen, Age: 25
Name: Jose Alvarado, Age: 25
Name: Kyle Anderson, Age: 30
Name: Giannis Antetokounmpo, Age: 29
Name: Thanasis Antetokounmpo, Age: 31
Name: Cole Anthony, Age: 23
Name: OG Anunoby, Age: 26
Name: Ryan Arcidiacono, Age: 29
Name: Deni Avdija, Age: 23
Name: Deandre Ayton, Age: 25
Name: Udoka Azubuike, Age: 24
Name: Ibou Badji, Age: 21
Name: Marvin Bagley III, Age: 24
Name: Amari Bailey, Age: 19
Name: Patrick Baldwin Jr., Age: 21
Name: LaMelo Ball, Age: 22
Name: Mo Bamba, Age: 25
Name: Paolo Banchero, Age: 21
Name: Desmond Bane, Age: 25
Name: Dalano Banton, Age: 24
Name: Dominick Barlow, Age: 20
Name: Harrison Barnes, Age: 31
Name: Scottie Barnes, Age: 22
Name: RJ Barrett, Age: 23
Name: Charles Bassey, Age: 23
Name: Emoni Bates, Age: 20
Name: Keita Bates-Diop, Age: 28
Name: Nicolas Batum, Age: 35
Name: Darius Bazley, Age: 23
Name: Bradley Beal, Age: 30
Name: Malik Beasley, Age: 27
Name: MarJon Beauchamp, Age: 23
Name: Jules Bernard, Age: 24
Name: Dāvis Bertāns, Age: 31
Name: Patrick Beverley, Age: 35
Name: Saddiq Bey, Age: 24
Name: Goga Bitadze, Age: 24
Name: Onuralp Bitim, Age: 24
Name: Bismack Biyombo, Age: 31
Name: Anthony Black, Age: 20
Name: Leaky Black, Age: 24
Name: Buddy Boeheim, Age: 24
Name: Bogdan Bogdanović, Age: 31
Name: Bojan Bogdanović, Age: 34
Name: Bol Bol, Age: 24
Name: Marques Bolden, Age: 25
Name: Devin Booker, Age: 27
Name: Brandon Boston Jr., Age: 22
Name: Chris Boucher, Age: 31
Name: James Bouknight, Age: 23
Name: Jamaree Bouyea, Age: 24
Name: Malaki Branham, Age: 20
Name: Christian Braun, Age: 22
Name: Mikal Bridges, Age: 27
Name: Miles Bridges, Age: 25
Name: Oshae Brissett, Age: 25
Name: Izaiah Brockington, Age: 24
Name: Malcolm Brogdon, Age: 31
Name: Armoni Brooks, Age: 25
Name: Dillon Brooks, Age: 28
Name: Bruce Brown, Age: 27
Name: Charlie Brown Jr., Age: 26
Name: Greg Brown III, Age: 22
Name: Jaylen Brown, Age: 27
Name: Kendall Brown, Age: 20
Name: Kobe Brown, Age: 24
Name: Moses Brown, Age: 24
Name: Troy Brown Jr., Age: 24
Name: Jalen Brunson, Age: 27
Name: Thomas Bryant, Age: 26
Name: Kobe Bufkin, Age: 20
Name: Reggie Bullock, Age: 32
Name: Alec Burks, Age: 32
Name: Jared Butler, Age: 23
Name: Jimmy Butler, Age: 34
Name: Jamal Cain, Age: 24
Name: Kentavious Caldwell-Pope, Age: 30
Name: Toumani Camara, Age: 23
Name: Clint Capela, Age: 29
Name: Jevon Carter, Age: 28
Name: Wendell Carter Jr., Age: 24
Name: D.J. Carton, Age: 23
Name: Alex Caruso, Age: 29
Name: Colin Castleton, Age: 23
Name: Malcolm Cazalon, Age: 22
Name: Julian Champagnie, Age: 22
Name: Justin Champagnie, Age: 22
Name: Max Christie, Age: 20
Name: Sidy Cissoko, Age: 19
Name: Brandon Clarke, Age: 27
Name: Jordan Clarkson, Age: 31
Name: Nic Claxton, Age: 24
Name: Noah Clowney, Age: 19
Name: Amir Coffey, Age: 26
Name: John Collins, Age: 26
Name: Zach Collins, Age: 26
Name: Mike Conley, Age: 36
Name: Pat Connaughton, Age: 31
Name: Bilal Coulibaly, Age: 19
Name: Ricky Council IV, Age: 22
Name: Robert Covington, Age: 33
Name: Torrey Craig, Age: 33
Name: Jae Crowder, Age: 33
Name: Jalen Crutcher, Age: 24
Name: Cade Cunningham, Age: 22
Name: Seth Curry, Age: 33
Name: Stephen Curry, Age: 35
